;"Activity type","Duration","From","To","Comment"
"Study","00:16","2019-09-23 17:26","2019-09-23 17:42",
"Social / family","04:08","2019-09-23 17:26","2019-09-23 21:34",
"Transport","00:29","2019-09-23 16:56","2019-09-23 17:25",
"Productivity ","00:11","2019-09-23 16:45","2019-09-23 16:56",
"Transport","00:12","2019-09-23 16:32","2019-09-23 16:45",
"Sport","00:24","2019-09-23 16:08","2019-09-23 16:32",
"Transport","00:12","2019-09-23 15:56","2019-09-23 16:08",
"Productivity ","00:13","2019-09-23 15:43","2019-09-23 15:56",
"Non-class learning/prod","02:34","2019-09-23 13:08","2019-09-23 15:43",
"Food","00:20","2019-09-23 12:47","2019-09-23 13:08",
"Default actions","01:45","2019-09-23 10:30","2019-09-23 12:15",""
"Non-class learning/prod","01:10","2019-09-23 09:19","2019-09-23 10:30",""
"Food","00:17","2019-09-23 09:02","2019-09-23 09:19",
"Routine","00:15","2019-09-23 08:47","2019-09-23 09:02",
"Sleep","08:52","2019-09-22 23:52","2019-09-23 08:44",
"Routine","00:25","2019-09-22 23:26","2019-09-22 23:52",
"Productivity ","00:55","2019-09-22 22:31","2019-09-22 23:26",
"Non-class learning/prod","02:05","2019-09-22 20:25","2019-09-22 22:31",
"Food","00:46","2019-09-22 20:08","2019-09-22 20:54",
"Study","00:27","2019-09-22 19:40","2019-09-22 20:07",
"Conscious entertainment ","02:18","2019-09-22 17:22","2019-09-22 19:40",
"Productivity ","00:41","2019-09-22 16:41","2019-09-22 17:22",
"Study","00:16","2019-09-22 16:25","2019-09-22 16:41",
"Conscious entertainment ","01:06","2019-09-22 15:18","2019-09-22 16:25",
"Food","00:14","2019-09-22 15:03","2019-09-22 15:18",
"Productivity ","00:36","2019-09-22 14:27","2019-09-22 15:03",
"Sport","01:32","2019-09-22 12:54","2019-09-22 14:27",
"Productivity ","00:04","2019-09-22 12:50","2019-09-22 12:54",
"Study","01:37","2019-09-22 11:13","2019-09-22 12:50",
"Productivity ","00:33","2019-09-22 10:39","2019-09-22 11:13",
"Food","00:20","2019-09-22 10:18","2019-09-22 10:39",
"Transport","00:16","2019-09-22 10:01","2019-09-22 10:18",
"Routine","00:15","2019-09-22 09:15","2019-09-22 09:30",""
"Sleep","09:00","2019-09-22 00:15","2019-09-22 09:15",""
"Routine","00:15","2019-09-21 23:59","2019-09-22 00:15",""
"Social / family","00:24","2019-09-21 23:35","2019-09-21 23:59",
"Productivity ","00:34","2019-09-21 23:01","2019-09-21 23:35",
"Social / family","02:11","2019-09-21 20:50","2019-09-21 23:01",
"Study","00:47","2019-09-21 18:20","2019-09-21 19:08",
"Transport","02:33","2019-09-21 18:16","2019-09-21 20:50",
"Sport","05:18","2019-09-21 12:57","2019-09-21 18:16",
"Study","00:39","2019-09-21 12:01","2019-09-21 12:41",
"Transport","00:55","2019-09-21 12:01","2019-09-21 12:57",
"Transport","00:39","2019-09-21 11:22","2019-09-21 12:01",
"Productivity ","00:53","2019-09-21 10:29","2019-09-21 11:22",
"Routine","00:06","2019-09-21 10:22","2019-09-21 10:29",
"Sleep","09:52","2019-09-21 00:30","2019-09-21 10:22",""
"Conscious entertainment ","00:35","2019-09-20 23:55","2019-09-21 00:30",""
"Routine","00:06","2019-09-20 23:48","2019-09-20 23:55",
"Study","02:05","2019-09-20 21:42","2019-09-20 23:48",
"Me time","00:15","2019-09-20 21:27","2019-09-20 21:42",
"Social / family","01:19","2019-09-20 20:07","2019-09-20 21:27",
"Transport","00:25","2019-09-20 19:41","2019-09-20 20:07",
"Productivity ","00:30","2019-09-20 19:11","2019-09-20 19:41",
"Food","00:38","2019-09-20 18:33","2019-09-20 19:11",
"Study","00:08","2019-09-20 18:24","2019-09-20 18:33",
"Productivity ","01:52","2019-09-20 16:31","2019-09-20 18:24",
"Transport","00:10","2019-09-20 16:21","2019-09-20 16:31",
"Sport","00:50","2019-09-20 15:30","2019-09-20 16:21",
"Transport","00:13","2019-09-20 15:17","2019-09-20 15:30",
"Productivity ","00:30","2019-09-20 14:47","2019-09-20 15:17",
"Food","01:09","2019-09-20 13:37","2019-09-20 14:47",
"Routine","00:39","2019-09-20 12:58","2019-09-20 13:37",
"Sleep","10:06","2019-09-20 02:51","2019-09-20 12:58",
"Default actions","02:00","2019-09-20 00:51","2019-09-20 02:51",""
"Routine","00:22","2019-09-20 00:28","2019-09-20 00:51",""
"Conscious entertainment ","00:32","2019-09-19 23:56","2019-09-20 00:28",
"Food","00:46","2019-09-19 23:09","2019-09-19 23:56",
"Transport","00:20","2019-09-19 22:49","2019-09-19 23:09",
"Sport","01:00","2019-09-19 21:48","2019-09-19 22:49",
"Transport","00:16","2019-09-19 21:32","2019-09-19 21:48",
"Productivity ","00:37","2019-09-19 20:54","2019-09-19 21:32",
"Study","01:56","2019-09-19 18:58","2019-09-19 20:54",
"Social / family","00:30","2019-09-19 18:27","2019-09-19 18:58",
"Me time","00:32","2019-09-19 17:55","2019-09-19 18:27",
"Food","00:33","2019-09-19 16:54","2019-09-19 17:27",
"Transport","01:28","2019-09-19 15:26","2019-09-19 16:54",
"Study","00:43","2019-09-19 14:42","2019-09-19 15:26",
"Transport","00:12","2019-09-19 14:30","2019-09-19 14:42",
"Work CBO","00:13","2019-09-19 13:52","2019-09-19 14:05",
"Class","01:26","2019-09-19 13:04","2019-09-19 14:30",
"Me time","00:12","2019-09-19 12:51","2019-09-19 13:03",
"Transport","00:42","2019-09-19 12:09","2019-09-19 12:51",
"Productivity ","00:11","2019-09-19 11:57","2019-09-19 12:09",
"Food","00:34","2019-09-19 11:22","2019-09-19 11:57",
"Routine","00:25","2019-09-19 11:08","2019-09-19 11:33",
"Sleep","10:50","2019-09-18 23:50","2019-09-19 10:40",
"Conscious entertainment ","00:32","2019-09-18 23:18","2019-09-18 23:50",
"Routine","00:32","2019-09-18 22:45","2019-09-18 23:17",
"Food","00:23","2019-09-18 22:21","2019-09-18 22:45",
"Social / family","01:06","2019-09-18 21:15","2019-09-18 22:21",
"Transport","00:56","2019-09-18 20:18","2019-09-18 21:15",
"Sport","01:30","2019-09-18 18:30","2019-09-18 20:00",""
"Productivity ","00:13","2019-09-18 18:16","2019-09-18 18:30",""
"Transport","00:45","2019-09-18 17:30","2019-09-18 18:16",
"Class","01:19","2019-09-18 16:10","2019-09-18 17:30",
"Food","00:13","2019-09-18 15:57","2019-09-18 16:10",
"Non-class learning/prod","00:20","2019-09-18 15:37","2019-09-18 15:57",
"Study","00:51","2019-09-18 14:46","2019-09-18 15:37",
"Class","01:32","2019-09-18 13:14","2019-09-18 14:46",
"Work FBA","00:16","2019-09-18 12:57","2019-09-18 13:14",
"Transport","00:40","2019-09-18 12:16","2019-09-18 12:57",
"Food","00:11","2019-09-18 12:05","2019-09-18 12:16",
"Productivity ","00:17","2019-09-18 11:47","2019-09-18 12:05",
"Transport","00:27","2019-09-18 11:19","2019-09-18 11:47",
"Non-class learning/prod","00:20","2019-09-18 10:59","2019-09-18 11:19",
"Work Orphic","00:30","2019-09-18 10:28","2019-09-18 10:59",
"Food","00:22","2019-09-18 10:04","2019-09-18 10:27",
"Work FBA","00:15","2019-09-18 09:49","2019-09-18 10:04",
"Routine","00:15","2019-09-18 09:49","2019-09-18 10:04",
"Sleep","09:26","2019-09-18 00:23","2019-09-18 09:49",
"Conscious entertainment ","00:22","2019-09-18 00:00","2019-09-18 00:23",
"Routine","00:24","2019-09-17 23:36","2019-09-18 00:00",
"Food","00:50","2019-09-17 22:45","2019-09-17 23:36",
"Social / family","00:24","2019-09-17 22:20","2019-09-17 22:45",
"Sport","01:29","2019-09-17 20:50","2019-09-17 22:20",
"Transport","00:34","2019-09-17 20:16","2019-09-17 20:50",
"Non-class learning/prod","00:22","2019-09-17 19:53","2019-09-17 20:16",
"Default actions","00:37","2019-09-17 19:16","2019-09-17 19:53",
"Productivity ","00:57","2019-09-17 18:19","2019-09-17 19:16",
"Conscious entertainment ","00:16","2019-09-17 18:02","2019-09-17 18:18",
"Food","00:25","2019-09-17 17:36","2019-09-17 18:02",
"Productivity ","01:30","2019-09-17 16:06","2019-09-17 17:36",
"Study","00:54","2019-09-17 15:11","2019-09-17 16:06",
"Food","00:08","2019-09-17 15:03","2019-09-17 15:11",
"Conscious entertainment ","02:34","2019-09-17 12:29","2019-09-17 15:03",
"Default actions","00:17","2019-09-17 12:11","2019-09-17 12:29",
"Work Orphic","00:34","2019-09-17 11:36","2019-09-17 12:11",
"Food","00:20","2019-09-17 11:16","2019-09-17 11:36",
"Productivity ","00:30","2019-09-17 10:45","2019-09-17 11:16",
"Social / family","00:37","2019-09-17 10:08","2019-09-17 10:45",
"Work CAIJ corpo","00:13","2019-09-17 09:53","2019-09-17 10:07",
"Work Orphic","00:18","2019-09-17 09:35","2019-09-17 09:53",
"Routine","00:41","2019-09-17 08:53","2019-09-17 09:35",
"Sleep","08:41","2019-09-17 00:12","2019-09-17 08:53",
"Conscious entertainment ","00:42","2019-09-16 23:29","2019-09-17 00:12",
"Study","02:35","2019-09-16 20:54","2019-09-16 23:29",
"Productivity ","00:18","2019-09-16 20:36","2019-09-16 20:54",
"Social / family","00:14","2019-09-16 20:21","2019-09-16 20:36",
"Food","00:50","2019-09-16 19:30","2019-09-16 20:21",
"Study","01:03","2019-09-16 18:26","2019-09-16 19:30",
"Productivity ","00:13","2019-09-16 18:13","2019-09-16 18:26",
"Conscious entertainment ","01:45","2019-09-16 16:27","2019-09-16 18:13",
"Food","00:25","2019-09-16 16:02","2019-09-16 16:27",
"Routine","00:12","2019-09-16 15:42","2019-09-16 15:54",
"Transport","00:30","2019-09-16 15:12","2019-09-16 15:42",
"Sport","04:27","2019-09-16 10:44","2019-09-16 15:12",
"Transport","00:25","2019-09-16 10:18","2019-09-16 10:44",
"Productivity ","00:14","2019-09-16 10:03","2019-09-16 10:18",
"Work Orphic","00:46","2019-09-16 09:17","2019-09-16 10:03",
"Routine","00:35","2019-09-16 07:55","2019-09-16 08:31",
"Sleep","07:52","2019-09-16 00:02","2019-09-16 07:55",
"Conscious entertainment ","00:30","2019-09-15 23:31","2019-09-16 00:02",
"Routine","00:22","2019-09-15 23:09","2019-09-15 23:31",
"Food","00:03","2019-09-15 23:06","2019-09-15 23:09",
"Work Orphic","00:24","2019-09-15 22:42","2019-09-15 23:06",
"Study","02:09","2019-09-15 20:32","2019-09-15 22:42",
"Food","00:38","2019-09-15 19:54","2019-09-15 20:32",
"Productivity ","00:33","2019-09-15 19:20","2019-09-15 19:54",
"Food","00:08","2019-09-15 19:12","2019-09-15 19:20",
"Study","01:42","2019-09-15 17:29","2019-09-15 19:12",
"Food","00:31","2019-09-15 16:57","2019-09-15 17:29",
"Study","03:06","2019-09-15 13:50","2019-09-15 16:57",
"Work Orphic","00:27","2019-09-15 13:23","2019-09-15 13:50",
"Food","00:19","2019-09-15 13:03","2019-09-15 13:23",
"Work Orphic","00:16","2019-09-15 12:46","2019-09-15 13:03",
"Sport","00:35","2019-09-15 12:10","2019-09-15 12:45",""
"Transport","00:34","2019-09-15 11:35","2019-09-15 12:10",""
"Routine","00:25","2019-09-15 11:09","2019-09-15 11:35",
"Sleep","10:56","2019-09-15 00:13","2019-09-15 11:09",
"Work FBA","00:38","2019-09-14 23:34","2019-09-15 00:12",
"Social / family","00:16","2019-09-14 23:17","2019-09-14 23:34",
"Food","00:59","2019-09-14 22:18","2019-09-14 23:17",
"Transport","00:14","2019-09-14 22:03","2019-09-14 22:18",
"Sport","01:13","2019-09-14 20:50","2019-09-14 22:03",
"Transport","00:16","2019-09-14 20:33","2019-09-14 20:50",
"Productivity ","00:14","2019-09-14 20:18","2019-09-14 20:32",
"Work Orphic","02:06","2019-09-14 18:12","2019-09-14 20:18",
"Transport","00:26","2019-09-14 17:32","2019-09-14 17:58",
"Me time","00:54","2019-09-14 16:37","2019-09-14 17:32",
"Food","00:31","2019-09-14 16:06","2019-09-14 16:37",
"Social / family","00:00","2019-09-14 16:06","2019-09-14 16:06",
"Food","00:15","2019-09-14 15:51","2019-09-14 16:06",
"Transport","01:24","2019-09-14 14:27","2019-09-14 15:51",
"Routine","00:57","2019-09-14 13:29","2019-09-14 14:26",
"Food","00:26","2019-09-14 13:03","2019-09-14 13:29",
"Sleep","09:30","2019-09-14 03:30","2019-09-14 13:00",""
"Social / family","10:00","2019-09-13 17:30","2019-09-14 03:30",""
"Transport","00:30","2019-09-13 17:00","2019-09-13 17:30",""
"Default actions","03:00","2019-09-13 14:00","2019-09-13 17:00",""
"Sleep","04:41","2019-09-13 09:18","2019-09-13 14:00",""
"Transport","00:24","2019-09-13 08:53","2019-09-13 09:18",
"Work Orphic","00:22","2019-09-13 08:31","2019-09-13 08:53",
"Food","00:15","2019-09-13 08:15","2019-09-13 08:31",
"Work Orphic","00:00","2019-09-13 08:14","2019-09-13 08:15",
"Transport","00:44","2019-09-13 07:30","2019-09-13 08:14",
"Routine","00:09","2019-09-13 07:20","2019-09-13 07:30",
"Sleep","05:34","2019-09-13 01:45","2019-09-13 07:20",
"Conscious entertainment ","03:12","2019-09-12 22:23","2019-09-13 01:36",
"Social / family","00:44","2019-09-12 21:38","2019-09-12 22:23",
"Food","01:04","2019-09-12 20:34","2019-09-12 21:38",
"Transport","00:34","2019-09-12 19:59","2019-09-12 20:34",
"Class","01:54","2019-09-12 18:05","2019-09-12 19:59",
"Transport","00:44","2019-09-12 17:15","2019-09-12 18:00",
"Productivity ","00:10","2019-09-12 17:04","2019-09-12 17:15",
"Default actions","01:20","2019-09-12 15:40","2019-09-12 17:00",""
"Food","00:29","2019-09-12 15:10","2019-09-12 15:40",""
"Work Orphic","00:38","2019-09-12 14:20","2019-09-12 14:58",
"Class","01:15","2019-09-12 13:55","2019-09-12 15:10",
"Transport","00:41","2019-09-12 13:13","2019-09-12 13:55",
"Work Orphic","01:17","2019-09-12 11:55","2019-09-12 13:13",
"Transport","00:27","2019-09-12 11:28","2019-09-12 11:55",
"Productivity ","00:41","2019-09-12 10:46","2019-09-12 11:28",
"Food","00:19","2019-09-12 10:27","2019-09-12 10:46",
"Routine","00:10","2019-09-12 10:15","2019-09-12 10:25",""
"Sleep","09:25","2019-09-12 00:50","2019-09-12 10:15",""
"Routine","00:18","2019-09-12 00:31","2019-09-12 00:50",""
"Work Orphic","00:52","2019-09-11 23:39","2019-09-12 00:31",
"Productivity ","00:20","2019-09-11 23:18","2019-09-11 23:39",
"Transport","00:11","2019-09-11 23:07","2019-09-11 23:18",
"Productivity ","00:16","2019-09-11 22:51","2019-09-11 23:07",
"Food","00:08","2019-09-11 22:42","2019-09-11 22:50",
"Transport","00:31","2019-09-11 22:10","2019-09-11 22:42",
"Sport","00:49","2019-09-11 21:21","2019-09-11 22:10",
"Social / family","01:00","2019-09-11 20:20","2019-09-11 21:20",""
"Food","00:20","2019-09-11 20:00","2019-09-11 20:20",""
"Sport","01:43","2019-09-11 18:16","2019-09-11 20:00",""
"Transport","00:35","2019-09-11 17:40","2019-09-11 18:16",
"Work FBA","00:40","2019-09-11 16:26","2019-09-11 17:06",
"Class","01:13","2019-09-11 16:26","2019-09-11 17:39",
"Class","00:20","2019-09-11 16:06","2019-09-11 16:26",
"Work Orphic","02:12","2019-09-11 13:53","2019-09-11 16:05",
"Food","00:40","2019-09-11 13:09","2019-09-11 13:49",
"Transport","00:43","2019-09-11 12:26","2019-09-11 13:09",
"Work Orphic","00:10","2019-09-11 12:15","2019-09-11 12:26",
"Food","00:15","2019-09-11 12:00","2019-09-11 12:15",
"Work Orphic","00:46","2019-09-11 11:14","2019-09-11 12:00",
"Class","00:36","2019-09-11 10:37","2019-09-11 11:14",
"Transport","00:47","2019-09-11 09:49","2019-09-11 10:37",
"Routine","00:13","2019-09-11 09:35","2019-09-11 09:49",
"Sleep","07:14","2019-09-11 02:20","2019-09-11 09:35",
"Routine","00:45","2019-09-11 01:13","2019-09-11 01:58",
"Conscious entertainment ","02:33","2019-09-10 22:39","2019-09-11 01:13",
"Food","00:44","2019-09-10 21:55","2019-09-10 22:39",
"Transport","00:15","2019-09-10 21:39","2019-09-10 21:55",
"Sport","00:58","2019-09-10 20:41","2019-09-10 21:39",
"Transport","00:24","2019-09-10 20:17","2019-09-10 20:41",
"Productivity ","00:08","2019-09-10 20:09","2019-09-10 20:17",
"Work Orphic","00:28","2019-09-10 19:40","2019-09-10 20:09",
"Work CAIJ corpo","00:25","2019-09-10 19:14","2019-09-10 19:40",
"Food","00:16","2019-09-10 18:57","2019-09-10 19:13",
"Conscious entertainment ","01:55","2019-09-10 17:00","2019-09-10 18:55",""
"Default actions","01:07","2019-09-10 15:52","2019-09-10 17:00",""
"Productivity ","00:23","2019-09-10 15:28","2019-09-10 15:52",
"Transport","00:59","2019-09-10 14:29","2019-09-10 15:28",
"Class","01:11","2019-09-10 13:17","2019-09-10 14:29",
"Transport","00:35","2019-09-10 12:41","2019-09-10 13:17",
"Work Orphic","00:27","2019-09-10 12:14","2019-09-10 12:41",
"Default actions","00:24","2019-09-10 11:49","2019-09-10 12:14",
"Food","00:29","2019-09-10 10:54","2019-09-10 11:23",
"Me time","00:21","2019-09-10 10:32","2019-09-10 10:54",
"Transport","00:34","2019-09-10 09:58","2019-09-10 10:32",
"Class","01:22","2019-09-10 08:36","2019-09-10 09:58",
"Transport","01:15","2019-09-10 07:20","2019-09-10 08:36",
"Routine","00:23","2019-09-10 06:56","2019-09-10 07:20",
"Sleep","06:37","2019-09-10 00:18","2019-09-10 06:56",
"Routine","00:15","2019-09-10 00:03","2019-09-10 00:18",
"Conscious entertainment ","00:20","2019-09-09 23:35","2019-09-09 23:55",""
"Food","00:15","2019-09-09 23:19","2019-09-09 23:35",""
"Transport","00:24","2019-09-09 22:54","2019-09-09 23:19",
"Sport","00:54","2019-09-09 22:00","2019-09-09 22:54",
"Transport","00:12","2019-09-09 21:48","2019-09-09 22:00",
"Productivity ","00:14","2019-09-09 21:33","2019-09-09 21:48",
"Conscious entertainment ","00:32","2019-09-09 21:00","2019-09-09 21:33",
"Social / family","00:43","2019-09-09 20:17","2019-09-09 21:00",
"Food","00:59","2019-09-09 19:18","2019-09-09 20:17",
"Transport","00:25","2019-09-09 18:50","2019-09-09 19:15",
"Social / family","00:29","2019-09-09 18:20","2019-09-09 18:50",
"Default actions","00:12","2019-09-09 18:07","2019-09-09 18:20",
"Transport","00:06","2019-09-09 18:01","2019-09-09 18:07",
"Work Orphic","00:14","2019-09-09 17:46","2019-09-09 18:01",
"Transport","00:08","2019-09-09 17:37","2019-09-09 17:46",
"Work Orphic","00:24","2019-09-09 17:01","2019-09-09 17:25",
"Class","01:23","2019-09-09 16:13","2019-09-09 17:37",
"Transport","00:48","2019-09-09 15:25","2019-09-09 16:13",
"Me time","00:00","2019-09-09 14:51","2019-09-09 14:51",
"Productivity ","00:34","2019-09-09 14:50","2019-09-09 15:25",
"Default actions","00:40","2019-09-09 13:54","2019-09-09 14:35",
"Food","00:22","2019-09-09 13:32","2019-09-09 13:54",
"Work Orphic","00:40","2019-09-09 12:52","2019-09-09 13:32",
"Work Lumed","00:25","2019-09-09 12:26","2019-09-09 12:52",
"Transport","00:18","2019-09-09 12:07","2019-09-09 12:26",
"Productivity ","00:23","2019-09-09 11:44","2019-09-09 12:07",
"Transport","00:10","2019-09-09 11:34","2019-09-09 11:44",
"Sport","00:45","2019-09-09 10:49","2019-09-09 11:34",
"Routine","00:33","2019-09-09 10:08","2019-09-09 10:41",
"Sleep","10:51","2019-09-08 23:16","2019-09-09 10:08",
"Conscious entertainment ","00:24","2019-09-08 22:51","2019-09-08 23:16",
"Routine","00:21","2019-09-08 22:30","2019-09-08 22:51",
"Work Orphic","01:14","2019-09-08 21:15","2019-09-08 22:30",
"Work Lumed","00:27","2019-09-08 20:48","2019-09-08 21:15",
"Work Orphic","00:02","2019-09-08 20:45","2019-09-08 20:48",
"Conscious entertainment ","00:31","2019-09-08 20:13","2019-09-08 20:45",
"Food","00:39","2019-09-08 19:34","2019-09-08 20:13",
"Transport","00:26","2019-09-08 19:07","2019-09-08 19:34",
"Productivity ","00:25","2019-09-08 18:41","2019-09-08 19:07",
"Work CAIJ corpo","00:16","2019-09-08 18:25","2019-09-08 18:41",
"Productivity ","00:01","2019-09-08 18:23","2019-09-08 18:25",
"Study","00:26","2019-09-08 17:56","2019-09-08 18:23",
"Food","00:07","2019-09-08 17:49","2019-09-08 17:56",
"Study","02:39","2019-09-08 15:09","2019-09-08 17:48",
"Default actions","00:26","2019-09-08 14:43","2019-09-08 15:09",
"Transport","00:25","2019-09-08 14:17","2019-09-08 14:43",
"Sport","01:25","2019-09-08 12:51","2019-09-08 14:17",
"Study","00:00","2019-09-08 12:51","2019-09-08 12:51",
"Productivity ","00:37","2019-09-08 12:14","2019-09-08 12:51",
"Food","00:28","2019-09-08 11:45","2019-09-08 12:14",
"Study","01:03","2019-09-08 10:42","2019-09-08 11:45",
"Routine","00:35","2019-09-08 10:06","2019-09-08 10:42",
"Sleep","09:35","2019-09-08 00:31","2019-09-08 10:06",
"Conscious entertainment ","00:49","2019-09-07 23:42","2019-09-08 00:31",
"Food","00:24","2019-09-07 23:18","2019-09-07 23:42",
"Study","01:57","2019-09-07 21:20","2019-09-07 23:18",
"Transport","00:29","2019-09-07 20:51","2019-09-07 21:20",
"Social / family","03:25","2019-09-07 17:25","2019-09-07 20:51",
"Transport","00:37","2019-09-07 16:48","2019-09-07 17:25",
"Productivity ","00:19","2019-09-07 16:28","2019-09-07 16:48",
"Work Orphic","00:00","2019-09-07 16:28","2019-09-07 16:28",
"Work Lumed","00:56","2019-09-07 15:31","2019-09-07 16:28",
"Work Orphic","00:10","2019-09-07 15:21","2019-09-07 15:31",
"Work Lumed","00:28","2019-09-07 14:52","2019-09-07 15:21",
"Transport","00:16","2019-09-07 14:35","2019-09-07 14:52",
"Sport","01:23","2019-09-07 13:12","2019-09-07 14:35",
"Productivity ","00:45","2019-09-07 12:27","2019-09-07 13:12",
"Social / family","00:10","2019-09-07 12:15","2019-09-07 12:25",""
"Food","00:20","2019-09-07 11:55","2019-09-07 12:15",""
"Routine","00:17","2019-09-07 11:37","2019-09-07 11:55",""
"Sleep","11:21","2019-09-07 00:15","2019-09-07 11:37",""
"Social / family","00:30","2019-09-06 23:45","2019-09-07 00:15",""
"Routine","00:15","2019-09-06 23:30","2019-09-06 23:45",""
"Work Lumed","00:38","2019-09-06 22:51","2019-09-06 23:30",""
"Work Orphic","00:00","2019-09-06 22:51","2019-09-06 22:51",
"Conscious entertainment ","01:00","2019-09-06 21:15","2019-09-06 22:15",""
"Food","00:31","2019-09-06 20:43","2019-09-06 21:15",""
"Social / family","02:08","2019-09-06 18:34","2019-09-06 20:43",
"Work Lumed","00:18","2019-09-06 18:16","2019-09-06 18:34",
"Food","00:16","2019-09-06 18:00","2019-09-06 18:16",
"Transport","00:26","2019-09-06 17:34","2019-09-06 18:00",
"Productivity ","00:48","2019-09-06 16:45","2019-09-06 17:34",
"Routine","00:16","2019-09-06 16:29","2019-09-06 16:45",
"Me time","00:52","2019-09-06 15:37","2019-09-06 16:29",
"Transport","01:06","2019-09-06 14:31","2019-09-06 15:37",
"Work Orphic","01:40","2019-09-06 12:51","2019-09-06 14:31",
"Transport","01:00","2019-09-06 11:40","2019-09-06 12:40",""
"Class","01:28","2019-09-06 10:11","2019-09-06 11:40",""
"Transport","00:31","2019-09-06 09:34","2019-09-06 10:06",
"Routine","00:12","2019-09-06 09:21","2019-09-06 09:34",
"Sleep","09:22","2019-09-05 23:59","2019-09-06 09:21",
"Productivity ","00:15","2019-09-05 23:43","2019-09-05 23:59",
"Routine","00:23","2019-09-05 23:20","2019-09-05 23:43",
"Productivity ","00:50","2019-09-05 22:29","2019-09-05 23:20",
"Work CBO","00:23","2019-09-05 22:05","2019-09-05 22:29",
"Work Parox","00:23","2019-09-05 22:05","2019-09-05 22:29",
"Work FBA","00:00","2019-09-05 22:05","2019-09-05 22:05",
"Productivity ","00:34","2019-09-05 21:30","2019-09-05 22:04",
"Food","00:31","2019-09-05 20:58","2019-09-05 21:30",
"Transport","00:50","2019-09-05 20:08","2019-09-05 20:58",
"Productivity ","00:03","2019-09-05 20:04","2019-09-05 20:08",
"Work Orphic","00:27","2019-09-05 19:37","2019-09-05 20:04",
"Class","02:25","2019-09-05 17:39","2019-09-05 20:04",
"Transport","00:50","2019-09-05 16:48","2019-09-05 17:39",
"Sport","00:57","2019-09-05 15:50","2019-09-05 16:48",
"Transport","00:25","2019-09-05 15:25","2019-09-05 15:50",
"Productivity ","00:18","2019-09-05 15:06","2019-09-05 15:25",
"Transport","00:41","2019-09-05 14:25","2019-09-05 15:06",
"Class","01:12","2019-09-05 13:12","2019-09-05 14:25",
"Me time","00:29","2019-09-05 12:43","2019-09-05 13:12",
"Food","00:19","2019-09-05 12:24","2019-09-05 12:43",
"Transport","00:27","2019-09-05 11:56","2019-09-05 12:24",
"Work Orphic","01:27","2019-09-05 10:28","2019-09-05 11:56",
"Conscious entertainment ","00:00","2019-09-05 09:22","2019-09-05 09:22",
"Class","01:45","2019-09-05 08:42","2019-09-05 10:28",
"Productivity ","00:17","2019-09-05 08:24","2019-09-05 08:42",
"Food","00:15","2019-09-05 08:09","2019-09-05 08:24",
"Transport","00:59","2019-09-05 07:10","2019-09-05 08:09",
"Routine","00:20","2019-09-05 06:45","2019-09-05 07:06",
"Sleep","09:04","2019-09-04 21:40","2019-09-05 06:45",
"Routine","00:17","2019-09-04 21:23","2019-09-04 21:40",
"Productivity ","00:05","2019-09-04 21:17","2019-09-04 21:23",
"Food","00:33","2019-09-04 20:44","2019-09-04 21:17",
"Social / family","00:41","2019-09-04 20:02","2019-09-04 20:44",
"Transport","00:48","2019-09-04 19:13","2019-09-04 20:02",
"Work Orphic","01:08","2019-09-04 18:05","2019-09-04 19:13",
"Non-class learning/prod","00:00","2019-09-04 18:05","2019-09-04 18:05",
"Social / family","00:16","2019-09-04 17:48","2019-09-04 18:04",
"Class","01:28","2019-09-04 16:20","2019-09-04 17:48",
"Transport","00:44","2019-09-04 15:36","2019-09-04 16:20",
"Food","00:38","2019-09-04 14:57","2019-09-04 15:36",
"Conscious entertainment ","00:45","2019-09-04 14:11","2019-09-04 14:57",
"Productivity ","00:41","2019-09-04 13:30","2019-09-04 14:11",
"Default actions","01:02","2019-09-04 12:27","2019-09-04 13:30",""
"Routine","01:23","2019-09-04 11:04","2019-09-04 12:27",
"Transport","00:51","2019-09-04 10:13","2019-09-04 11:04",
"Sleep","09:02","2019-09-04 00:57","2019-09-04 10:00",
"Me time","00:36","2019-09-04 00:16","2019-09-04 00:53",
"Routine","00:23","2019-09-03 23:53","2019-09-04 00:16",
"Conscious entertainment ","00:16","2019-09-03 23:36","2019-09-03 23:53",
"Social / family","00:37","2019-09-03 22:58","2019-09-03 23:36",
"Work Orphic","00:26","2019-09-03 22:31","2019-09-03 22:58",
"Study","00:08","2019-09-03 22:23","2019-09-03 22:31",
"Productivity ","00:14","2019-09-03 22:08","2019-09-03 22:22",
"Social / family","00:28","2019-09-03 21:39","2019-09-03 22:07",
"Routine","00:15","2019-09-03 21:23","2019-09-03 21:39",
"Food","00:36","2019-09-03 20:45","2019-09-03 21:22",
"Transport","00:20","2019-09-03 20:19","2019-09-03 20:39",
"Sport","01:28","2019-09-03 18:50","2019-09-03 20:19",
"Food","00:11","2019-09-03 18:39","2019-09-03 18:50",
"Transport","00:24","2019-09-03 18:14","2019-09-03 18:39",
"Sport","00:39","2019-09-03 17:34","2019-09-03 18:13",
"Transport","01:50","2019-09-03 15:43","2019-09-03 17:34",
"Work Lumed","00:35","2019-09-03 15:08","2019-09-03 15:43",
"Food","00:22","2019-09-03 14:36","2019-09-03 14:58",
"Class","01:15","2019-09-03 13:21","2019-09-03 14:36",
